requirementId,disposition,baseline,acceptance,currentRequirement
SF-ORG-01,unchanged,Lite 1.0,T01,"As an administrator, I can create workspaces, invite/remove members, assign teams/roles and transfer form ownership without transferring respondent data across tenants."
SF-ORG-02,unchanged,Lite 1.0,"T01, T22","As an author, I can search/filter/paginate forms by title, key, tag, owner, status and updated time; create folders/tags; duplicate, archive and restore forms. No fixed catalog-count cap is embedded in the model."
SF-ORG-03,unchanged,Lite 1.0,"T01, T20","As an owner, I can configure policy defaults, locale/timezone, storage/retention and approved providers; workspace overrides cannot weaken an enforced organization policy."
SF-AUTH-01,added,new in Lite 1.1,"T27, T20","As a staff member, I can sign in with username/password and sign out; no public self-registration or development identity header substitutes for authentication. Unknown username, wrong password, inactive account and invalid credentials have the same public failure response, with bounded abuse protection."
SF-AUTH-02,added,new in Lite 1.1,"T27, T20","As a staff member, I receive an opaque server-managed session with expiry, idle timeout, secure transport and mutation protection. Logout invalidates it server-side. Account suspension/password changes revoke all sessions; membership/role removal invalidates affected access within five minutes and every sensitive request checks current authority."
SF-AUTH-03,added,new in Lite 1.1,T28,"As a new staff member, I can use an administrator-set temporary password to reach mandatory password setup without email. Until setup succeeds, only setup, safe session status and sign-out are available; no ordinary staff API or page is usable."
SF-AUTH-04,added,new in Lite 1.1,"T28, T01","As an administrator, I can invite a named user with scoped roles using an expiring single-use link. With configured email it is sent and delivery status is visible; without email I can copy the newly issued link. Redemption rechecks current authority and activates the new account or adds an authenticated existing account's offered membership."
SF-AUTH-05,added,new in Lite 1.1,T29,"As an active user, I can change my password by proving the current password; forgotten-password recovery is a separate flow. An authorized administrator can initiate recovery without email within the account boundary above. Configured email enables holder-initiated recovery with a generic public response."
SF-AUTH-06,added,new in Lite 1.1,"T28, T29","As an account holder, activation/reset/change enforces one documented password policy and invalidates old setup/reset links and affected sessions atomically. Tokens cannot be reused, replayed concurrently, accepted after expiry/revocation, or substituted between purposes/accounts/tenants."
SF-AUTH-07,added,new in Lite 1.1,"T28, T29, T30","As an administrator, I see user identity, activation/membership status, workspace roles and invitation delivery state; create/add, role assignment, suspension/removal and authorized recovery are audited. Passwords, hashes and tokens never appear in ordinary list/detail/export/log responses."
SF-PLT-01,added,new in Lite 1.1,"T28, T23","As a deployment operator, I can establish and activate the first platform administrator once, safely retry startup, and recover administrator access through a documented audited operator procedure."
SF-PLT-02,added,new in Lite 1.1,"T28, T20","As a platform administrator, I can list/create/manage organizations and appoint owners/admins; tenant administrators cannot perform platform operations. Creating an organization and its first owner is atomic."
SF-PLT-03,added,new in Lite 1.1,"T28, T29","As an organization, concurrent account, role and recovery actions cannot remove our last acting owner; analogous protection applies to the last acting platform administrator. Pending activation and global account suspension count correctly."
SF-ORG-05,added,new in Lite 1.1,"T01, T28, T20","As a staff member in multiple organizations/workspaces, I can switch among permitted memberships, with explicit tenant context and independently enforced roles. Removal in one tenant never grants or deletes membership in another."
SF-UI-01,added,new in Lite 1.1,"T27, T28, T29, T30, T13","As staff, I can complete all authentication and administration journeys through accessible Certinal UI screens, including empty/no-access, pending activation, expiry, denied operation and email-unavailable states; hidden navigation never replaces API authorization."
SF-AUT-01,unchanged,Lite 1.0,T02,"As an author, I can create/reorder/duplicate/delete phases, pages, sections and question instances; use grouped-page or focused-question presentation; retain stable IDs through moves and label edits."
SF-AUT-02,unchanged,Lite 1.0,"T02, T04","As an author, I can edit label, description, placeholder, help/example, units, requiredness, default/read-only policy and sensitivity without editing application code."
SF-AUT-03,unchanged,Lite 1.0,"T02, T10","As an author, I can undo/redo at least 100 logical edit transactions per tab; grouped typing and drag actions undo as one action; saved draft history survives reload. Undo never alters a published release."
SF-AUT-04,unchanged,Lite 1.0,"T02, T09","As an author, I see Saving/Saved/Retrying/Conflict state. Edits use optimistic revision checks; concurrent changes are compared and explicitly resolved, never silently overwritten."
SF-AUT-05,unchanged,Lite 1.0,"T02, T05","Before deleting/changing a referenced field, option, page or block, I see impacted rules, text, translations and consumers; cancel, replace references or accept a draft-breaking change with diagnostics."
SF-AUT-06,unchanged,Lite 1.0,T03,"As an author, I can preview the exact candidate through the production compiler/runtime with synthetic data, device sizes and locale changes; preview cannot create real submissions or send live events."
SF-AUT-08,unchanged,Lite 1.0,T07,"As an author, I can create versioned reusable blocks containing fields, layout, rules, guidance and translations; insert with an ID remap, fork locally or explicitly update with an impact diff."
SF-AUT-09,unchanged,Lite 1.0,"T02, T10","As a collaborator, I can see who is editing, add/resolve comments and compare revisions. Presence is advisory; revision checks are authoritative. Live character-by-character coediting is optional."
SF-THM-01,unchanged,Lite 1.0,T13,"As an administrator, I can define logo, approved fonts, colors, spacing, density, border radius, header/footer and responsive layouts using bounded theme tokens. No arbitrary JavaScript or CSS import is allowed."
SF-THM-02,unchanged,Lite 1.0,T13,"As an author, I can preview themes at 320–1440 CSS-pixel widths, 200% and 400% zoom and RTL; preflight rejects token combinations that fail required contrast or hide controls."
SF-THM-03,unchanged,Lite 1.0,"T07, T13","As a brand owner, I can lock selected organization tokens and publish versioned theme presets; updates never silently change existing releases."
SF-FLD-01,unchanged,Lite 1.0,T04,"As an author, I can use every field family above with documented storage and constraints, including read-only, conditional and review behavior. Unknown controls fail preflight rather than disappearing."
SF-FLD-02,unchanged,Lite 1.0,"T04, T24","As an author, I can bind multiple instances to one field; editing one updates the other active views. A new independent question creates a new field ID."
SF-FLD-03,unchanged,Lite 1.0,T06,"As a respondent, I can manage repeated items without index-based identity loss; nested fields and calculations stay attached to the correct item after reorder/delete."
SF-FLD-04,unchanged,Lite 1.0,"T04, T06","As an author, I can configure fixed/dynamic matrices, row details and domain composites from typed child fields; they share ordinary validation and accessibility contracts."
SF-FLD-06,unchanged,Lite 1.0,T15,"As a respondent, I can upload, cancel, retry and remove files; pending/rejected required files block submission and ready files stay bound to the correct tenant/session."
SF-FLD-07,unchanged,Lite 1.0,"T04, T05","As an author, I can configure rating/ranking, exclusive options, Other-with-detail, safe answer piping and alternate input modes without custom executable code."
SF-RUL-01,unchanged,Lite 1.0,T05,"As an author, I can compose nested typed expressions, use item/parent scopes and inspect a readable explanation; identical inputs/context produce identical client/server results."
SF-RUL-02,unchanged,Lite 1.0,T05,"As a publisher, I receive blocking diagnostics for cycles, bad types/arity, unknown IDs, impossible scopes and conflicting assignments before any release is created."
SF-RUL-03,unchanged,Lite 1.0,"T05, T06","As a respondent, changing a branch consistently updates ancestor/child visibility, requiredness, calculations, review and output under the hidden-retention policy."
SF-RUL-04,unchanged,Lite 1.0,T05,"As an author, I can define safe page routes and defaults, optional sections and conditional requiredness without skipping applicable mandatory answers or review."
SF-RUL-05,unchanged,Lite 1.0,"T05, T06","As a user, I receive deterministic typed calculations and repeat aggregates; invalid arithmetic returns explicit diagnostics and never NaN/Infinity or silently rounded data."
SF-RUL-06,unchanged,Lite 1.0,T05,"As an author, I can use scoring/calculated summaries and safe answer piping for personalized explanations; the product makes no diagnostic, legal or payment decision automatically."
SF-VAL-01,unchanged,Lite 1.0,"T04, T05, T08","As a publisher, I can rely on shared type, enum, bounds, cardinality, pattern, cross-field and required checks on every authoring path and server submission."
SF-VAL-02,unchanged,Lite 1.0,"T08, T13","As a respondent, I see a linked error summary, inline correction guidance and preserved valid input; hidden fields do not create inaccessible errors."
SF-VAL-03,unchanged,Lite 1.0,"T03, T08, T24","As a publisher, I can test boundary/invalid inputs through the staff-authorized validation API; diagnostics include code, severity, field/node ID, row path and JSON pointer."
SF-GUD-01,unchanged,Lite 1.0,T11,"As an author, I can edit/version scoped brief/detailed help, glossary, examples, Q&A and narration with review notes and approval status."
SF-GUD-02,unchanged,Lite 1.0,T11,"As a respondent, I can read ordinary instructions and see the approved text associated with narration or a spoken answer; unavailable help has an honest fallback. No separate Read help action or typed-question interface is required."
SF-GUD-03,unchanged,Lite 1.0,T11,"As a respondent, I can play/control narration in a supported locale and see its exact text; no audio/provider/microphone capability is required to finish."
SF-GUD-04,unchanged,Lite 1.0,T11,"As a respondent, I can use Click to Ask for a spoken question and hear the most relevant approved visible-scope answer. Speech never enters field values, acknowledges terms or submits."
SF-GUD-05,unchanged,Lite 1.0,"T11, T20","As an operator, I can manage provider credentials, locale/voice selection, pronunciation terms, quotas and timeout/failure metrics without exposing keys or raw private speech in logs."
SF-LOC-01,unchanged,Lite 1.0,T12,"As a translator, I can import/export and review locale bundles, find missing/stale keys, preview long strings and publish only complete supported locales."
SF-LOC-02,rewritten,Lite 1.0,T12,"As a respondent, switching language preserves typed values and answer meaning; a persisted locale change may advance the session revision and invalidates locale-bound review/acknowledgments; dates/numbers display locally and the page language/direction updates."
SF-LOC-03,unchanged,Lite 1.0,"T12, T13","As an author, I can support RTL, mixed-direction identifiers, pluralization and locale-specific formatting without duplicating the form or changing stable IDs."
SF-ACC-01,unchanged,Lite 1.0,T13,"As a keyboard/screen-reader user, I can author and complete all required journeys with semantic labels/groups, accessible focus, errors, tables, dialogs, uploads, repeaters and review. Target WCAG 2.2 AA."
SF-ACC-02,unchanged,Lite 1.0,T13,"As a user, I can zoom/reflow, reduce motion, use touch targets and disable speech without losing functionality. Focus is not hidden by sticky navigation or the voice bar."
SF-ACC-03,unchanged,Lite 1.0,"T03, T13","As an author, I see automated contrast/label/alt-text and structural warnings plus a manual accessibility checklist; automated success is never presented as full conformance."
SF-PUB-01,unchanged,Lite 1.0,T10,"As a publisher, I can request review, approve a revision and atomically publish only after shared structural, semantic, localization, policy and dependency checks pass."
SF-PUB-02,unchanged,Lite 1.0,T10,"As a respondent, my session pins a release/manifest/engine contract; publishing or theme/block updates do not change its questions, meaning or history."
SF-PUB-03,unchanged,Lite 1.0,"T10, T14","As an operator, I can roll back, retire, archive and emergency-close forms with the explicit new-session/existing-session effects described above."
SF-PUB-04,unchanged,Lite 1.0,"T07, T10","As a reviewer, I can see semantic differences and impacted reusable dependencies/consumer keys before release; breaking changes require an explicit acknowledgment."
SF-RES-01,unchanged,Lite 1.0,T14,"As a respondent, I get clear introduction, adaptive navigation, truthful progress, review/edit links and explicit submit; no rule or voice command silently submits."
SF-RES-02,unchanged,Lite 1.0,T09,"As a respondent, acknowledged drafts survive restart and recovery; failed or pending saves are displayed truthfully and retry without overwriting newer revisions."
SF-RES-03,unchanged,Lite 1.0,"T09, T20","As a respondent, I can continue an authorized draft on the same browser/device, handle expiry and start a fresh response without exposing another person's answers on shared devices."
SF-RES-04,unchanged,Lite 1.0,T17,"As a respondent, I can submit the same form repeatedly, including identical answers, and receive a truthful receipt for each accepted submission. No person/content duplicate restriction applies. Uncertain requests expose status without falsely claiming success."
SF-SHR-01,unchanged,Lite 1.0,T14,"As a publisher, I can publish public link/QR/iframe channels with availability windows, form-wide response caps and clear confirmation."
SF-SHR-02,unchanged,Lite 1.0,"T14, T20","As an integrator, I can embed with origin checks and the defined message protocol; no raw answers leak to an unapproved parent."
SF-ADM-01,unchanged,Lite 1.0,T18,"As a workspace response viewer, I can list/filter/read submitted responses and inspect their attachments without editing answers or processing a response workflow."
SF-ADM-02,unchanged,Lite 1.0,T18,"As an exporter, I can obtain complete JSON and relational CSV exports, including repeated data and dictionary metadata, with safe cell encoding and expiring downloads."
SF-ADM-04,unchanged,Lite 1.0,"T17, T24","As a workspace user, I receive a documented typed submission envelope with stable IDs, pinned form-release metadata, locale, timestamps, attachment references and provenance."
SF-API-01,unchanged,Lite 1.0,T24,"As a staff author, I can discover capabilities/schema versions and create/update/import/export/validate/publish definitions through documented application APIs under my workspace role, with the same results as the UI."
SF-API-02,unchanged,Lite 1.0,"T17, T18, T24","As an authorized workspace user, I receive stable typed envelopes, data dictionaries, cursor pagination and compatible version evolution without knowing internal implementation details."
SF-API-03,unchanged,Lite 1.0,"T09, T17, T24","As a client, I can safely retry idempotent operations, detect stale revisions and receive actionable structured errors without partial mutation."
SF-API-04,unchanged,Lite 1.0,T19,"As an operator, I can configure signed webhooks, inspect/replay delivery failures and distinguish accepted submissions from pending downstream delivery."
SF-API-05,unchanged,Lite 1.0,"T15, T20","As a respondent or staff user, session and attachment access is server-authorized; query values or forged envelope metadata cannot override authorization."
